command,mean,stddev,median,user,system,min,max
perbase base-depth 30X,1259.40087143706,4.760451705191877,1256.8777457660601,5380.5818120799995,626.8209898333333,1256.43309885506,1264.89176969006
sambamba depth base 30X,3814.89118054806,61.25627559761153,3792.84271421206,5388.271062413332,1569.2357034999998,3767.71120296406,3884.11962446806
